maintained,technique,is,OUTFAROUP,and,the,number,is,40
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,42,135
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,10,100
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,11,90
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,12,80
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,13,75
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,14,65
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,15,55
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,16,45
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,17,35
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,18,25
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,19,15
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,20,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,21,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,22,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,23,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,24,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,25,5
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,26,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,27,0
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,28,10
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,29,20
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,30,30
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,31,40
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,32,50
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,33,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,34,70
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,35,80
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,36,90
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,37,100
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,38,110
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,39,120
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,40,245
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,41,130
outfaroup,40,outfaroup,40,outfaroup,40,outfaro,42,130
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,10,145
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,11,140
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,12,135
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,13,130
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,14,120
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,15,110
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,16,100
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,17,90
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,18,80
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,19,70
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,20,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,21,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,22,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,23,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,24,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,25,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,26,60
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,27,65
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,28,75
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,29,85
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,30,95
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,31,105
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,32,115
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,33,125
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,34,135
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,35,145
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,36,155
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,37,165
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,38,175
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,39,185
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,40,510
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,41,190
outfaroup,40,outfaroup,40,outfaroup,40,outfaroup,42,185
