maintained,technique,is,SLIPCUTUP,and,the,number,is,20
outfaroup,24,slipcut,20,slipcut,20,slipcut,20,40
outfaroup,25,slipcut,20,slipcut,20,slipcut,20,20
outfaroup,26,slipcut,20,slipcut,20,slipcut,20,0
outfaroup,27,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,28,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,29,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,30,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,31,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,32,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,33,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,34,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,35,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,36,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,37,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,38,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,39,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,40,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,41,slipcut,20,slipcut,20,slipcut,20,-10
outfaroup,42,slipcut,20,slipcut,20,slipcut,20,-10
