maintained,technique,is,INFARO,and,the,number,is,30
infaro,13,pealup,30,pealup,30,pealup,30,-5
infaro,14,pealup,30,pealup,30,pealup,30,-5
infaro,15,pealup,30,pealup,30,pealup,30,-5
infaro,16,pealup,30,pealup,30,pealup,30,0
infaro,17,pealup,30,pealup,30,pealup,30,0
infaro,18,pealup,30,pealup,30,pealup,30,5
infaro,19,pealup,30,pealup,30,pealup,30,5
infaro,20,pealup,30,pealup,30,pealup,30,0
infaro,21,pealup,30,pealup,30,pealup,30,5
infaro,22,pealup,30,pealup,30,pealup,30,0
infaro,23,pealup,30,pealup,30,pealup,30,0
infaro,24,pealup,30,pealup,30,pealup,30,-5
infaro,25,pealup,30,pealup,30,pealup,30,5
infaro,26,pealup,30,pealup,30,pealup,30,0
infaro,27,pealup,30,pealup,30,pealup,30,-5
infaro,28,pealup,30,pealup,30,pealup,30,5
infaro,29,pealup,30,pealup,30,pealup,30,0
infaro,30,pealup,30,pealup,30,pealup,30,0
infaro,31,pealup,30,pealup,30,pealup,30,-5
infaro,32,pealup,30,pealup,30,pealup,30,-5
infaro,33,pealup,30,pealup,30,pealup,30,0
infaro,34,pealup,30,pealup,30,pealup,30,10
infaro,35,pealup,30,pealup,30,pealup,30,5
infaro,36,pealup,30,pealup,30,pealup,30,5
infaro,37,pealup,30,pealup,30,pealup,30,0
infaro,38,pealup,30,pealup,30,pealup,30,5
infaro,39,pealup,30,pealup,30,pealup,30,5
infaro,40,pealup,30,pealup,30,pealup,30,5
infaro,41,pealup,30,pealup,30,pealup,30,20
infaro,42,pealup,30,pealup,30,pealup,30,-5
infaroup,10,pealup,30,pealup,30,pealup,30,-5
infaroup,11,pealup,30,pealup,30,pealup,30,0
infaroup,12,pealup,30,pealup,30,pealup,30,-5
infaroup,13,pealup,30,pealup,30,pealup,30,-5
infaroup,14,pealup,30,pealup,30,pealup,30,0
infaroup,15,pealup,30,pealup,30,pealup,30,-5
infaroup,16,pealup,30,pealup,30,pealup,30,-5
infaroup,17,pealup,30,pealup,30,pealup,30,-5
infaroup,18,pealup,30,pealup,30,pealup,30,10
infaroup,19,pealup,30,pealup,30,pealup,30,15
infaroup,20,pealup,30,pealup,30,pealup,30,0
infaroup,21,pealup,30,pealup,30,pealup,30,-5
infaroup,22,pealup,30,pealup,30,pealup,30,5
infaroup,23,pealup,30,pealup,30,pealup,30,10
infaroup,24,pealup,30,pealup,30,pealup,30,-5
infaroup,25,pealup,30,pealup,30,pealup,30,5
infaroup,26,pealup,30,pealup,30,pealup,30,0
infaroup,27,pealup,30,pealup,30,pealup,30,-5
