maintained,technique,is,PEALUP,and,the,number,is,40
pealup,40,pealup,46,pealup,40,pealup,40,50
pealup,40,pealup,47,pealup,40,pealup,40,40
pealup,40,pealup,48,pealup,40,pealup,40,30
pealup,40,pealup,49,pealup,40,pealup,40,20
pealup,40,pealup,50,pealup,40,pealup,40,10
pealup,40,pealup,51,pealup,40,pealup,40,0
pealup,40,infaro,10,pealup,40,pealup,40,-10
pealup,40,infaro,11,pealup,40,pealup,40,-10
pealup,40,infaro,12,pealup,40,pealup,40,-10
pealup,40,infaro,13,pealup,40,pealup,40,-10
pealup,40,infaro,14,pealup,40,pealup,40,-10
pealup,40,infaro,15,pealup,40,pealup,40,-10
pealup,40,infaro,16,pealup,40,pealup,40,-10
pealup,40,infaro,17,pealup,40,pealup,40,-10
pealup,40,infaro,18,pealup,40,pealup,40,0
pealup,40,infaro,19,pealup,40,pealup,40,-10
pealup,40,infaro,20,pealup,40,pealup,40,-10
pealup,40,infaro,21,pealup,40,pealup,40,0
pealup,40,infaro,22,pealup,40,pealup,40,-10
pealup,40,infaro,23,pealup,40,pealup,40,-10
pealup,40,infaro,24,pealup,40,pealup,40,0
pealup,40,infaro,25,pealup,40,pealup,40,-10
pealup,40,infaro,26,pealup,40,pealup,40,-10
pealup,40,infaro,27,pealup,40,pealup,40,0
pealup,40,infaro,28,pealup,40,pealup,40,-10
pealup,40,infaro,29,pealup,40,pealup,40,-10
pealup,40,infaro,30,pealup,40,pealup,40,0
pealup,40,infaro,31,pealup,40,pealup,40,0
pealup,40,infaro,32,pealup,40,pealup,40,-10
pealup,40,infaro,33,pealup,40,pealup,40,10
pealup,40,infaro,34,pealup,40,pealup,40,-10
pealup,40,infaro,35,pealup,40,pealup,40,0
pealup,40,infaro,36,pealup,40,pealup,40,0
pealup,40,infaro,37,pealup,40,pealup,40,0
pealup,40,infaro,38,pealup,40,pealup,40,-10
pealup,40,infaro,39,pealup,40,pealup,40,10
pealup,40,infaro,40,pealup,40,pealup,40,-10
pealup,40,infaro,41,pealup,40,pealup,40,0
pealup,40,infaro,42,pealup,40,pealup,40,0
pealup,40,infaroup,10,pealup,40,pealup,40,110
pealup,40,infaroup,11,pealup,40,pealup,40,110
pealup,40,infaroup,12,pealup,40,pealup,40,120
pealup,40,infaroup,13,pealup,40,pealup,40,110
pealup,40,infaroup,14,pealup,40,pealup,40,110
pealup,40,infaroup,15,pealup,40,pealup,40,120
pealup,40,infaroup,16,pealup,40,pealup,40,110
pealup,40,infaroup,17,pealup,40,pealup,40,110
pealup,40,infaroup,18,pealup,40,pealup,40,120
pealup,40,infaroup,19,pealup,40,pealup,40,110
pealup,40,infaroup,20,pealup,40,pealup,40,110
pealup,40,infaroup,21,pealup,40,pealup,40,100
pealup,40,infaroup,22,pealup,40,pealup,40,70
pealup,40,infaroup,23,pealup,40,pealup,40,50
pealup,40,infaroup,24,pealup,40,pealup,40,40
pealup,40,infaroup,25,pealup,40,pealup,40,10
pealup,40,infaroup,26,pealup,40,pealup,40,-10
pealup,40,infaroup,27,pealup,40,pealup,40,0
pealup,40,infaroup,28,pealup,40,pealup,40,-10
pealup,40,infaroup,29,pealup,40,pealup,40,-10
pealup,40,infaroup,30,pealup,40,pealup,40,0
pealup,40,infaroup,31,pealup,40,pealup,40,-10
pealup,40,infaroup,32,pealup,40,pealup,40,-10
pealup,40,infaroup,33,pealup,40,pealup,40,0
pealup,40,infaroup,34,pealup,40,pealup,40,-10
pealup,40,infaroup,35,pealup,40,pealup,40,-10
pealup,40,infaroup,36,pealup,40,pealup,40,0
pealup,40,infaroup,37,pealup,40,pealup,40,-10
pealup,40,infaroup,38,pealup,40,pealup,40,-10
pealup,40,infaroup,39,pealup,40,pealup,40,10
pealup,40,infaroup,40,pealup,40,pealup,40,-10
pealup,40,infaroup,41,pealup,40,pealup,40,0
pealup,40,infaroup,42,pealup,40,pealup,40,-10
pealup,40,outfaro,10,pealup,40,pealup,40,0
pealup,40,outfaro,11,pealup,40,pealup,40,0
pealup,40,outfaro,12,pealup,40,pealup,40,0
pealup,40,outfaro,13,pealup,40,pealup,40,0
pealup,40,outfaro,14,pealup,40,pealup,40,0
pealup,40,outfaro,15,pealup,40,pealup,40,0
pealup,40,outfaro,16,pealup,40,pealup,40,0
pealup,40,outfaro,17,pealup,40,pealup,40,10
pealup,40,outfaro,18,pealup,40,pealup,40,0
pealup,40,outfaro,19,pealup,40,pealup,40,0
pealup,40,outfaro,20,pealup,40,pealup,40,10
pealup,40,outfaro,21,pealup,40,pealup,40,0
pealup,40,outfaro,22,pealup,40,pealup,40,10
pealup,40,outfaro,23,pealup,40,pealup,40,20
pealup,40,outfaro,24,pealup,40,pealup,40,10
pealup,40,outfaro,25,pealup,40,pealup,40,10
pealup,40,outfaro,26,pealup,40,pealup,40,20
pealup,40,outfaro,27,pealup,40,pealup,40,10
pealup,40,outfaro,28,pealup,40,pealup,40,10
pealup,40,outfaro,29,pealup,40,pealup,40,20
pealup,40,outfaro,30,pealup,40,pealup,40,10
pealup,40,outfaro,31,pealup,40,pealup,40,10
pealup,40,outfaro,32,pealup,40,pealup,40,10
pealup,40,outfaro,33,pealup,40,pealup,40,10
pealup,40,outfaro,34,pealup,40,pealup,40,0
pealup,40,outfaro,35,pealup,40,pealup,40,20
pealup,40,outfaro,36,pealup,40,pealup,40,0
pealup,40,outfaro,37,pealup,40,pealup,40,10
pealup,40,outfaro,38,pealup,40,pealup,40,10
pealup,40,outfaro,39,pealup,40,pealup,40,10
pealup,40,outfaro,40,pealup,40,pealup,40,0
pealup,40,outfaro,41,pealup,40,pealup,40,20
pealup,40,outfaro,42,pealup,40,pealup,40,0
pealup,40,outfaroup,10,pealup,40,pealup,40,110
pealup,40,outfaroup,11,pealup,40,pealup,40,120
pealup,40,outfaroup,12,pealup,40,pealup,40,110
pealup,40,outfaroup,13,pealup,40,pealup,40,110
pealup,40,outfaroup,14,pealup,40,pealup,40,130
pealup,40,outfaroup,15,pealup,40,pealup,40,120
pealup,40,outfaroup,16,pealup,40,pealup,40,120
pealup,40,outfaroup,17,pealup,40,pealup,40,130
pealup,40,outfaroup,18,pealup,40,pealup,40,120
pealup,40,outfaroup,19,pealup,40,pealup,40,120
pealup,40,outfaroup,20,pealup,40,pealup,40,130
pealup,40,outfaroup,21,pealup,40,pealup,40,110
pealup,40,outfaroup,22,pealup,40,pealup,40,90
pealup,40,outfaroup,23,pealup,40,pealup,40,80
pealup,40,outfaroup,24,pealup,40,pealup,40,50
pealup,40,outfaroup,25,pealup,40,pealup,40,30
pealup,40,outfaroup,26,pealup,40,pealup,40,20
pealup,40,outfaroup,27,pealup,40,pealup,40,0
pealup,40,outfaroup,28,pealup,40,pealup,40,0
pealup,40,outfaroup,29,pealup,40,pealup,40,10
pealup,40,outfaroup,30,pealup,40,pealup,40,0
pealup,40,outfaroup,31,pealup,40,pealup,40,0
pealup,40,outfaroup,32,pealup,40,pealup,40,10
pealup,40,outfaroup,33,pealup,40,pealup,40,0
pealup,40,outfaroup,34,pealup,40,pealup,40,0
pealup,40,outfaroup,35,pealup,40,pealup,40,10
pealup,40,outfaroup,36,pealup,40,pealup,40,0
pealup,40,outfaroup,37,pealup,40,pealup,40,0
pealup,40,outfaroup,38,pealup,40,pealup,40,10
pealup,40,outfaroup,39,pealup,40,pealup,40,0
pealup,40,outfaroup,40,pealup,40,pealup,40,-10
pealup,40,outfaroup,41,pealup,40,pealup,40,0
pealup,40,outfaroup,42,pealup,40,pealup,40,-10
