maintained,technique,is,SLIPCUTUP,and,the,number,is,40
slipcut,40,slipcut,40,slipcut,40,infaroup,18,120
slipcut,40,slipcut,40,slipcut,40,infaroup,19,120
slipcut,40,slipcut,40,slipcut,40,infaroup,20,120
slipcut,40,slipcut,40,slipcut,40,infaroup,21,90
slipcut,40,slipcut,40,slipcut,40,infaroup,22,70
slipcut,40,slipcut,40,slipcut,40,infaroup,23,50
slipcut,40,slipcut,40,slipcut,40,infaroup,24,30
slipcut,40,slipcut,40,slipcut,40,infaroup,25,10
slipcut,40,slipcut,40,slipcut,40,infaroup,26,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,27,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,28,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,29,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,30,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,31,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,32,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,33,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,34,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,35,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,36,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,37,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,38,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,39,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,40,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,41,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,42,-10
slipcut,40,slipcut,40,slipcut,40,outfaro,10,0
slipcut,40,slipcut,40,slipcut,40,outfaro,11,0
slipcut,40,slipcut,40,slipcut,40,outfaro,12,0
slipcut,40,slipcut,40,slipcut,40,outfaro,13,0
slipcut,40,slipcut,40,slipcut,40,outfaro,14,0
slipcut,40,slipcut,40,slipcut,40,outfaro,15,0
slipcut,40,slipcut,40,slipcut,40,outfaro,16,0
slipcut,40,slipcut,40,slipcut,40,outfaro,17,0
slipcut,40,slipcut,40,slipcut,40,outfaro,18,0
slipcut,40,slipcut,40,slipcut,40,outfaro,19,0
slipcut,40,slipcut,40,slipcut,40,outfaro,20,0
slipcut,40,slipcut,40,slipcut,40,outfaro,21,0
slipcut,40,slipcut,40,slipcut,40,outfaro,22,0
slipcut,40,slipcut,40,slipcut,40,outfaro,23,0
slipcut,40,slipcut,40,slipcut,40,outfaro,24,0
slipcut,40,slipcut,40,slipcut,40,outfaro,25,0
slipcut,40,slipcut,40,slipcut,40,outfaro,26,0
slipcut,40,slipcut,40,slipcut,40,outfaro,27,0
slipcut,40,slipcut,40,slipcut,40,outfaro,28,0
slipcut,40,slipcut,40,slipcut,40,outfaro,29,0
slipcut,40,slipcut,40,slipcut,40,outfaro,30,0
slipcut,40,slipcut,40,slipcut,40,outfaro,31,0
slipcut,40,slipcut,40,slipcut,40,outfaro,32,0
slipcut,40,slipcut,40,slipcut,40,outfaro,33,0
slipcut,40,slipcut,40,slipcut,40,outfaro,34,0
slipcut,40,slipcut,40,slipcut,40,outfaro,35,0
slipcut,40,slipcut,40,slipcut,40,outfaro,36,0
slipcut,40,slipcut,40,slipcut,40,outfaro,37,0
slipcut,40,slipcut,40,slipcut,40,outfaro,38,0
slipcut,40,slipcut,40,slipcut,40,outfaro,39,0
slipcut,40,slipcut,40,slipcut,40,outfaro,40,0
slipcut,40,slipcut,40,slipcut,40,outfaro,41,0
slipcut,40,slipcut,40,slipcut,40,outfaro,42,0
slipcut,40,slipcut,40,slipcut,40,outfaroup,10,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,11,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,12,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,13,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,14,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,15,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,16,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,17,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,18,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,19,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,20,120
slipcut,40,slipcut,40,slipcut,40,outfaroup,21,100
slipcut,40,slipcut,40,slipcut,40,outfaroup,22,80
slipcut,40,slipcut,40,slipcut,40,outfaroup,23,60
slipcut,40,slipcut,40,slipcut,40,outfaroup,24,40
slipcut,40,slipcut,40,slipcut,40,outfaroup,25,20
slipcut,40,slipcut,40,slipcut,40,outfaroup,26,0
slipcut,40,slipcut,40,slipcut,40,outfaroup,27,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,28,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,29,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,30,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,31,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,32,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,33,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,34,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,35,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,36,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,37,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,38,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,39,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,40,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,41,-10
slipcut,40,slipcut,40,slipcut,40,outfaroup,42,-10
