maintained,technique,is,PEAL,and,the,number,is,30
peal,30,peal,30,peal,30,outfaro,39,35
peal,30,peal,30,peal,30,outfaro,40,40
peal,30,peal,30,peal,30,outfaro,41,45
peal,30,peal,30,peal,30,outfaro,42,50
peal,30,peal,30,peal,30,outfaroup,10,25
peal,30,peal,30,peal,30,outfaroup,11,5
peal,30,peal,30,peal,30,outfaroup,12,0
peal,30,peal,30,peal,30,outfaroup,13,0
peal,30,peal,30,peal,30,outfaroup,14,0
peal,30,peal,30,peal,30,outfaroup,15,0
peal,30,peal,30,peal,30,outfaroup,16,0
peal,30,peal,30,peal,30,outfaroup,17,0
peal,30,peal,30,peal,30,outfaroup,18,0
peal,30,peal,30,peal,30,outfaroup,19,0
peal,30,peal,30,peal,30,outfaroup,20,0
peal,30,peal,30,peal,30,outfaroup,21,5
peal,30,peal,30,peal,30,outfaroup,22,0
peal,30,peal,30,peal,30,outfaroup,23,0
peal,30,peal,30,peal,30,outfaroup,24,5
peal,30,peal,30,peal,30,outfaroup,25,0
peal,30,peal,30,peal,30,outfaroup,26,0
peal,30,peal,30,peal,30,outfaroup,27,5
peal,30,peal,30,peal,30,outfaroup,28,0
peal,30,peal,30,peal,30,outfaroup,29,5
peal,30,peal,30,peal,30,outfaroup,30,10
peal,30,peal,30,peal,30,outfaroup,31,5
peal,30,peal,30,peal,30,outfaroup,32,5
peal,30,peal,30,peal,30,outfaroup,33,20
peal,30,peal,30,peal,30,outfaroup,34,15
peal,30,peal,30,peal,30,outfaroup,35,25
peal,30,peal,30,peal,30,outfaroup,36,30
peal,30,peal,30,peal,30,outfaroup,37,35
peal,30,peal,30,peal,30,outfaroup,38,35
peal,30,peal,30,peal,30,outfaroup,39,50
peal,30,peal,30,peal,30,outfaroup,40,45
peal,30,peal,30,peal,30,outfaroup,41,55
peal,30,peal,30,peal,30,outfaroup,42,55
