maintained,technique,is,OUTFARO,and,the,number,is,20
pealup,24,outfaro,20,outfaro,20,outfaro,20,0
pealup,25,outfaro,20,outfaro,20,outfaro,20,0
pealup,26,outfaro,20,outfaro,20,outfaro,20,0
pealup,27,outfaro,20,outfaro,20,outfaro,20,0
pealup,28,outfaro,20,outfaro,20,outfaro,20,0
pealup,29,outfaro,20,outfaro,20,outfaro,20,0
pealup,30,outfaro,20,outfaro,20,outfaro,20,0
pealup,31,outfaro,20,outfaro,20,outfaro,20,0
pealup,32,outfaro,20,outfaro,20,outfaro,20,0
pealup,33,outfaro,20,outfaro,20,outfaro,20,0
pealup,34,outfaro,20,outfaro,20,outfaro,20,0
pealup,35,outfaro,20,outfaro,20,outfaro,20,0
pealup,36,outfaro,20,outfaro,20,outfaro,20,0
pealup,37,outfaro,20,outfaro,20,outfaro,20,0
pealup,38,outfaro,20,outfaro,20,outfaro,20,0
pealup,39,outfaro,20,outfaro,20,outfaro,20,0
pealup,40,outfaro,20,outfaro,20,outfaro,20,0
pealup,41,outfaro,20,outfaro,20,outfaro,20,0
pealup,42,outfaro,20,outfaro,20,outfaro,20,0
pealup,43,outfaro,20,outfaro,20,outfaro,20,0
pealup,44,outfaro,20,outfaro,20,outfaro,20,10
pealup,45,outfaro,20,outfaro,20,outfaro,20,0
pealup,46,outfaro,20,outfaro,20,outfaro,20,10
pealup,47,outfaro,20,outfaro,20,outfaro,20,0
pealup,48,outfaro,20,outfaro,20,outfaro,20,10
pealup,49,outfaro,20,outfaro,20,outfaro,20,0
pealup,50,outfaro,20,outfaro,20,outfaro,20,10
pealup,51,outfaro,20,outfaro,20,outfaro,20,0
infaro,10,outfaro,20,outfaro,20,outfaro,20,120
infaro,11,outfaro,20,outfaro,20,outfaro,20,120
infaro,12,outfaro,20,outfaro,20,outfaro,20,120
infaro,13,outfaro,20,outfaro,20,outfaro,20,120
infaro,14,outfaro,20,outfaro,20,outfaro,20,120
infaro,15,outfaro,20,outfaro,20,outfaro,20,120
infaro,16,outfaro,20,outfaro,20,outfaro,20,120
infaro,17,outfaro,20,outfaro,20,outfaro,20,130
infaro,18,outfaro,20,outfaro,20,outfaro,20,140
infaro,19,outfaro,20,outfaro,20,outfaro,20,490
infaro,20,outfaro,20,outfaro,20,outfaro,20,130
infaro,21,outfaro,20,outfaro,20,outfaro,20,100
infaro,22,outfaro,20,outfaro,20,outfaro,20,80
infaro,23,outfaro,20,outfaro,20,outfaro,20,60
infaro,24,outfaro,20,outfaro,20,outfaro,20,40
infaro,25,outfaro,20,outfaro,20,outfaro,20,20
infaro,26,outfaro,20,outfaro,20,outfaro,20,10
infaro,27,outfaro,20,outfaro,20,outfaro,20,10
infaro,28,outfaro,20,outfaro,20,outfaro,20,10
infaro,29,outfaro,20,outfaro,20,outfaro,20,10
infaro,30,outfaro,20,outfaro,20,outfaro,20,10
infaro,31,outfaro,20,outfaro,20,outfaro,20,10
infaro,32,outfaro,20,outfaro,20,outfaro,20,10
infaro,33,outfaro,20,outfaro,20,outfaro,20,10
infaro,34,outfaro,20,outfaro,20,outfaro,20,0
infaro,35,outfaro,20,outfaro,20,outfaro,20,0
infaro,36,outfaro,20,outfaro,20,outfaro,20,0
infaro,37,outfaro,20,outfaro,20,outfaro,20,0
infaro,38,outfaro,20,outfaro,20,outfaro,20,0
infaro,39,outfaro,20,outfaro,20,outfaro,20,0
infaro,40,outfaro,20,outfaro,20,outfaro,20,0
infaro,41,outfaro,20,outfaro,20,outfaro,20,10
infaro,42,outfaro,20,outfaro,20,outfaro,20,20
infaroup,10,outfaro,20,outfaro,20,outfaro,20,0
infaroup,11,outfaro,20,outfaro,20,outfaro,20,0
infaroup,12,outfaro,20,outfaro,20,outfaro,20,0
infaroup,13,outfaro,20,outfaro,20,outfaro,20,0
infaroup,14,outfaro,20,outfaro,20,outfaro,20,0
infaroup,15,outfaro,20,outfaro,20,outfaro,20,0
infaroup,16,outfaro,20,outfaro,20,outfaro,20,0
infaroup,17,outfaro,20,outfaro,20,outfaro,20,10
infaroup,18,outfaro,20,outfaro,20,outfaro,20,10
infaroup,19,outfaro,20,outfaro,20,outfaro,20,110
infaroup,20,outfaro,20,outfaro,20,outfaro,20,0
infaroup,21,outfaro,20,outfaro,20,outfaro,20,0
infaroup,22,outfaro,20,outfaro,20,outfaro,20,0
infaroup,23,outfaro,20,outfaro,20,outfaro,20,0
infaroup,24,outfaro,20,outfaro,20,outfaro,20,10
infaroup,25,outfaro,20,outfaro,20,outfaro,20,20
infaroup,26,outfaro,20,outfaro,20,outfaro,20,10
infaroup,27,outfaro,20,outfaro,20,outfaro,20,0
infaroup,28,outfaro,20,outfaro,20,outfaro,20,0
infaroup,29,outfaro,20,outfaro,20,outfaro,20,0
infaroup,30,outfaro,20,outfaro,20,outfaro,20,0
infaroup,31,outfaro,20,outfaro,20,outfaro,20,0
infaroup,32,outfaro,20,outfaro,20,outfaro,20,0
infaroup,33,outfaro,20,outfaro,20,outfaro,20,0
infaroup,34,outfaro,20,outfaro,20,outfaro,20,0
infaroup,35,outfaro,20,outfaro,20,outfaro,20,0
infaroup,36,outfaro,20,outfaro,20,outfaro,20,0
infaroup,37,outfaro,20,outfaro,20,outfaro,20,0
infaroup,38,outfaro,20,outfaro,20,outfaro,20,0
infaroup,39,outfaro,20,outfaro,20,outfaro,20,0
infaroup,40,outfaro,20,outfaro,20,outfaro,20,0
infaroup,41,outfaro,20,outfaro,20,outfaro,20,0
infaroup,42,outfaro,20,outfaro,20,outfaro,20,0
outfaro,10,outfaro,20,outfaro,20,outfaro,20,120
outfaro,11,outfaro,20,outfaro,20,outfaro,20,120
outfaro,12,outfaro,20,outfaro,20,outfaro,20,120
outfaro,13,outfaro,20,outfaro,20,outfaro,20,120
outfaro,14,outfaro,20,outfaro,20,outfaro,20,120
outfaro,15,outfaro,20,outfaro,20,outfaro,20,120
outfaro,16,outfaro,20,outfaro,20,outfaro,20,120
outfaro,17,outfaro,20,outfaro,20,outfaro,20,120
outfaro,18,outfaro,20,outfaro,20,outfaro,20,140
outfaro,19,outfaro,20,outfaro,20,outfaro,20,160
outfaro,20,outfaro,20,outfaro,20,outfaro,20,510
outfaro,21,outfaro,20,outfaro,20,outfaro,20,130
outfaro,22,outfaro,20,outfaro,20,outfaro,20,100
outfaro,23,outfaro,20,outfaro,20,outfaro,20,80
outfaro,24,outfaro,20,outfaro,20,outfaro,20,60
outfaro,25,outfaro,20,outfaro,20,outfaro,20,40
outfaro,26,outfaro,20,outfaro,20,outfaro,20,20
outfaro,27,outfaro,20,outfaro,20,outfaro,20,20
outfaro,28,outfaro,20,outfaro,20,outfaro,20,20
outfaro,29,outfaro,20,outfaro,20,outfaro,20,20
outfaro,30,outfaro,20,outfaro,20,outfaro,20,20
outfaro,31,outfaro,20,outfaro,20,outfaro,20,20
outfaro,32,outfaro,20,outfaro,20,outfaro,20,20
outfaro,33,outfaro,20,outfaro,20,outfaro,20,20
outfaro,34,outfaro,20,outfaro,20,outfaro,20,10
outfaro,35,outfaro,20,outfaro,20,outfaro,20,0
outfaro,36,outfaro,20,outfaro,20,outfaro,20,0
outfaro,37,outfaro,20,outfaro,20,outfaro,20,0
outfaro,38,outfaro,20,outfaro,20,outfaro,20,0
outfaro,39,outfaro,20,outfaro,20,outfaro,20,0
outfaro,40,outfaro,20,outfaro,20,outfaro,20,0
outfaro,41,outfaro,20,outfaro,20,outfaro,20,10
outfaro,42,outfaro,20,outfaro,20,outfaro,20,20
outfaroup,10,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,11,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,12,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,13,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,14,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,15,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,16,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,17,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,18,outfaro,20,outfaro,20,outfaro,20,10
outfaroup,19,outfaro,20,outfaro,20,outfaro,20,10
outfaroup,20,outfaro,20,outfaro,20,outfaro,20,130
outfaroup,21,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,22,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,23,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,24,outfaro,20,outfaro,20,outfaro,20,10
outfaroup,25,outfaro,20,outfaro,20,outfaro,20,20
outfaroup,26,outfaro,20,outfaro,20,outfaro,20,20
outfaroup,27,outfaro,20,outfaro,20,outfaro,20,10
outfaroup,28,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,29,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,30,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,31,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,32,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,33,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,34,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,35,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,36,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,37,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,38,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,39,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,40,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,41,outfaro,20,outfaro,20,outfaro,20,0
outfaroup,42,outfaro,20,outfaro,20,outfaro,20,0
