maintained,technique,is,CUT,and,the,number,is,40
cut,40,infaro,16,cut,40,cut,40,0
cut,40,infaro,17,cut,40,cut,40,0
cut,40,infaro,18,cut,40,cut,40,0
cut,40,infaro,19,cut,40,cut,40,0
cut,40,infaro,20,cut,40,cut,40,0
cut,40,infaro,21,cut,40,cut,40,0
cut,40,infaro,22,cut,40,cut,40,0
cut,40,infaro,23,cut,40,cut,40,0
cut,40,infaro,24,cut,40,cut,40,0
cut,40,infaro,25,cut,40,cut,40,0
cut,40,infaro,26,cut,40,cut,40,0
cut,40,infaro,27,cut,40,cut,40,0
cut,40,infaro,28,cut,40,cut,40,0
cut,40,infaro,29,cut,40,cut,40,0
cut,40,infaro,30,cut,40,cut,40,0
cut,40,infaro,31,cut,40,cut,40,0
cut,40,infaro,32,cut,40,cut,40,0
cut,40,infaro,33,cut,40,cut,40,0
cut,40,infaro,34,cut,40,cut,40,0
cut,40,infaro,35,cut,40,cut,40,0
cut,40,infaro,36,cut,40,cut,40,0
cut,40,infaro,37,cut,40,cut,40,0
cut,40,infaro,38,cut,40,cut,40,0
cut,40,infaro,39,cut,40,cut,40,0
cut,40,infaro,40,cut,40,cut,40,290
cut,40,infaro,41,cut,40,cut,40,0
cut,40,infaro,42,cut,40,cut,40,0
cut,40,infaroup,10,cut,40,cut,40,-10
cut,40,infaroup,11,cut,40,cut,40,-10
cut,40,infaroup,12,cut,40,cut,40,0
cut,40,infaroup,13,cut,40,cut,40,0
cut,40,infaroup,14,cut,40,cut,40,0
cut,40,infaroup,15,cut,40,cut,40,0
cut,40,infaroup,16,cut,40,cut,40,0
cut,40,infaroup,17,cut,40,cut,40,0
cut,40,infaroup,18,cut,40,cut,40,0
cut,40,infaroup,19,cut,40,cut,40,0
cut,40,infaroup,20,cut,40,cut,40,0
cut,40,infaroup,21,cut,40,cut,40,0
cut,40,infaroup,22,cut,40,cut,40,0
cut,40,infaroup,23,cut,40,cut,40,0
cut,40,infaroup,24,cut,40,cut,40,0
cut,40,infaroup,25,cut,40,cut,40,0
cut,40,infaroup,26,cut,40,cut,40,0
cut,40,infaroup,27,cut,40,cut,40,0
cut,40,infaroup,28,cut,40,cut,40,0
cut,40,infaroup,29,cut,40,cut,40,0
cut,40,infaroup,30,cut,40,cut,40,0
cut,40,infaroup,31,cut,40,cut,40,0
cut,40,infaroup,32,cut,40,cut,40,-10
cut,40,infaroup,33,cut,40,cut,40,-10
cut,40,infaroup,34,cut,40,cut,40,-10
cut,40,infaroup,35,cut,40,cut,40,-10
cut,40,infaroup,36,cut,40,cut,40,-10
cut,40,infaroup,37,cut,40,cut,40,-10
cut,40,infaroup,38,cut,40,cut,40,-10
cut,40,infaroup,39,cut,40,cut,40,-10
cut,40,infaroup,40,cut,40,cut,40,-10
cut,40,infaroup,41,cut,40,cut,40,-10
cut,40,infaroup,42,cut,40,cut,40,-10
cut,40,outfaro,10,cut,40,cut,40,-10
cut,40,outfaro,11,cut,40,cut,40,-10
cut,40,outfaro,12,cut,40,cut,40,-10
cut,40,outfaro,13,cut,40,cut,40,0
cut,40,outfaro,14,cut,40,cut,40,0
cut,40,outfaro,15,cut,40,cut,40,0
cut,40,outfaro,16,cut,40,cut,40,0
cut,40,outfaro,17,cut,40,cut,40,0
cut,40,outfaro,18,cut,40,cut,40,0
cut,40,outfaro,19,cut,40,cut,40,0
cut,40,outfaro,20,cut,40,cut,40,0
cut,40,outfaro,21,cut,40,cut,40,0
cut,40,outfaro,22,cut,40,cut,40,0
cut,40,outfaro,23,cut,40,cut,40,0
cut,40,outfaro,24,cut,40,cut,40,0
cut,40,outfaro,25,cut,40,cut,40,0
cut,40,outfaro,26,cut,40,cut,40,0
cut,40,outfaro,27,cut,40,cut,40,0
cut,40,outfaro,28,cut,40,cut,40,0
cut,40,outfaro,29,cut,40,cut,40,0
cut,40,outfaro,30,cut,40,cut,40,0
cut,40,outfaro,31,cut,40,cut,40,0
cut,40,outfaro,32,cut,40,cut,40,0
cut,40,outfaro,33,cut,40,cut,40,0
cut,40,outfaro,34,cut,40,cut,40,0
cut,40,outfaro,35,cut,40,cut,40,0
cut,40,outfaro,36,cut,40,cut,40,0
cut,40,outfaro,37,cut,40,cut,40,0
cut,40,outfaro,38,cut,40,cut,40,0
cut,40,outfaro,39,cut,40,cut,40,0
cut,40,outfaro,40,cut,40,cut,40,270
cut,40,outfaro,41,cut,40,cut,40,0
cut,40,outfaro,42,cut,40,cut,40,0
cut,40,outfaroup,10,cut,40,cut,40,-10
cut,40,outfaroup,11,cut,40,cut,40,-10
cut,40,outfaroup,12,cut,40,cut,40,-10
cut,40,outfaroup,13,cut,40,cut,40,0
cut,40,outfaroup,14,cut,40,cut,40,0
cut,40,outfaroup,15,cut,40,cut,40,0
cut,40,outfaroup,16,cut,40,cut,40,0
cut,40,outfaroup,17,cut,40,cut,40,0
cut,40,outfaroup,18,cut,40,cut,40,0
cut,40,outfaroup,19,cut,40,cut,40,0
cut,40,outfaroup,20,cut,40,cut,40,0
cut,40,outfaroup,21,cut,40,cut,40,0
cut,40,outfaroup,22,cut,40,cut,40,0
cut,40,outfaroup,23,cut,40,cut,40,0
cut,40,outfaroup,24,cut,40,cut,40,0
cut,40,outfaroup,25,cut,40,cut,40,0
cut,40,outfaroup,26,cut,40,cut,40,0
cut,40,outfaroup,27,cut,40,cut,40,0
cut,40,outfaroup,28,cut,40,cut,40,0
cut,40,outfaroup,29,cut,40,cut,40,0
cut,40,outfaroup,30,cut,40,cut,40,0
cut,40,outfaroup,31,cut,40,cut,40,0
cut,40,outfaroup,32,cut,40,cut,40,0
cut,40,outfaroup,33,cut,40,cut,40,-10
cut,40,outfaroup,34,cut,40,cut,40,-10
cut,40,outfaroup,35,cut,40,cut,40,-10
cut,40,outfaroup,36,cut,40,cut,40,-10
cut,40,outfaroup,37,cut,40,cut,40,-10
cut,40,outfaroup,38,cut,40,cut,40,-10
cut,40,outfaroup,39,cut,40,cut,40,-10
cut,40,outfaroup,40,cut,40,cut,40,-10
cut,40,outfaroup,41,cut,40,cut,40,-10
cut,40,outfaroup,42,cut,40,cut,40,-10
