maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,infaro,19,150
peal,20,peal,20,peal,20,infaro,20,120
peal,20,peal,20,peal,20,infaro,21,100
peal,20,peal,20,peal,20,infaro,22,80
peal,20,peal,20,peal,20,infaro,23,60
peal,20,peal,20,peal,20,infaro,24,40
peal,20,peal,20,peal,20,infaro,25,20
peal,20,peal,20,peal,20,infaro,26,0
peal,20,peal,20,peal,20,infaro,27,0
peal,20,peal,20,peal,20,infaro,28,0
peal,20,peal,20,peal,20,infaro,29,0
peal,20,peal,20,peal,20,infaro,30,0
peal,20,peal,20,peal,20,infaro,31,0
peal,20,peal,20,peal,20,infaro,32,0
peal,20,peal,20,peal,20,infaro,33,0
peal,20,peal,20,peal,20,infaro,34,0
peal,20,peal,20,peal,20,infaro,35,0
peal,20,peal,20,peal,20,infaro,36,0
peal,20,peal,20,peal,20,infaro,37,0
peal,20,peal,20,peal,20,infaro,38,0
peal,20,peal,20,peal,20,infaro,39,0
peal,20,peal,20,peal,20,infaro,40,0
peal,20,peal,20,peal,20,infaro,41,0
peal,20,peal,20,peal,20,infaro,42,0
peal,20,peal,20,peal,20,infaroup,10,110
peal,20,peal,20,peal,20,infaroup,11,90
peal,20,peal,20,peal,20,infaroup,12,70
peal,20,peal,20,peal,20,infaroup,13,50
peal,20,peal,20,peal,20,infaroup,14,30
peal,20,peal,20,peal,20,infaroup,15,10
peal,20,peal,20,peal,20,infaroup,16,-10
peal,20,peal,20,peal,20,infaroup,17,-10
peal,20,peal,20,peal,20,infaroup,18,-10
peal,20,peal,20,peal,20,infaroup,19,-10
peal,20,peal,20,peal,20,infaroup,20,-10
peal,20,peal,20,peal,20,infaroup,21,-10
peal,20,peal,20,peal,20,infaroup,22,-10
peal,20,peal,20,peal,20,infaroup,23,0
peal,20,peal,20,peal,20,infaroup,24,-10
peal,20,peal,20,peal,20,infaroup,25,-10
peal,20,peal,20,peal,20,infaroup,26,0
peal,20,peal,20,peal,20,infaroup,27,-10
peal,20,peal,20,peal,20,infaroup,28,-10
peal,20,peal,20,peal,20,infaroup,29,0
peal,20,peal,20,peal,20,infaroup,30,-10
peal,20,peal,20,peal,20,infaroup,31,-10
peal,20,peal,20,peal,20,infaroup,32,0
peal,20,peal,20,peal,20,infaroup,33,0
peal,20,peal,20,peal,20,infaroup,34,-10
peal,20,peal,20,peal,20,infaroup,35,10
peal,20,peal,20,peal,20,infaroup,36,-10
peal,20,peal,20,peal,20,infaroup,37,0
peal,20,peal,20,peal,20,infaroup,38,-10
peal,20,peal,20,peal,20,infaroup,39,0
peal,20,peal,20,peal,20,infaroup,40,-10
peal,20,peal,20,peal,20,infaroup,41,0
peal,20,peal,20,peal,20,infaroup,42,-10
peal,20,peal,20,peal,20,outfaro,10,310
peal,20,peal,20,peal,20,outfaro,11,300
peal,20,peal,20,peal,20,outfaro,12,290
peal,20,peal,20,peal,20,outfaro,13,260
peal,20,peal,20,peal,20,outfaro,14,240
peal,20,peal,20,peal,20,outfaro,15,230
peal,20,peal,20,peal,20,outfaro,16,200
peal,20,peal,20,peal,20,outfaro,17,180
peal,20,peal,20,peal,20,outfaro,18,170
peal,20,peal,20,peal,20,outfaro,19,140
peal,20,peal,20,peal,20,outfaro,20,120
peal,20,peal,20,peal,20,outfaro,21,100
peal,20,peal,20,peal,20,outfaro,22,80
peal,20,peal,20,peal,20,outfaro,23,60
peal,20,peal,20,peal,20,outfaro,24,40
peal,20,peal,20,peal,20,outfaro,25,20
peal,20,peal,20,peal,20,outfaro,26,0
peal,20,peal,20,peal,20,outfaro,27,-10
peal,20,peal,20,peal,20,outfaro,28,-10
peal,20,peal,20,peal,20,outfaro,29,-10
peal,20,peal,20,peal,20,outfaro,30,-10
peal,20,peal,20,peal,20,outfaro,31,-10
peal,20,peal,20,peal,20,outfaro,32,-10
peal,20,peal,20,peal,20,outfaro,33,-10
peal,20,peal,20,peal,20,outfaro,34,-10
peal,20,peal,20,peal,20,outfaro,35,-10
peal,20,peal,20,peal,20,outfaro,36,-10
peal,20,peal,20,peal,20,outfaro,37,-10
peal,20,peal,20,peal,20,outfaro,38,-10
peal,20,peal,20,peal,20,outfaro,39,-10
peal,20,peal,20,peal,20,outfaro,40,-10
peal,20,peal,20,peal,20,outfaro,41,-10
peal,20,peal,20,peal,20,outfaro,42,-10
peal,20,peal,20,peal,20,outfaroup,10,130
peal,20,peal,20,peal,20,outfaroup,11,110
peal,20,peal,20,peal,20,outfaroup,12,90
peal,20,peal,20,peal,20,outfaroup,13,70
peal,20,peal,20,peal,20,outfaroup,14,50
peal,20,peal,20,peal,20,outfaroup,15,30
peal,20,peal,20,peal,20,outfaroup,16,10
peal,20,peal,20,peal,20,outfaroup,17,0
peal,20,peal,20,peal,20,outfaroup,18,0
peal,20,peal,20,peal,20,outfaroup,19,0
peal,20,peal,20,peal,20,outfaroup,20,0
peal,20,peal,20,peal,20,outfaroup,21,0
peal,20,peal,20,peal,20,outfaroup,22,10
peal,20,peal,20,peal,20,outfaroup,23,0
peal,20,peal,20,peal,20,outfaroup,24,0
peal,20,peal,20,peal,20,outfaroup,25,10
peal,20,peal,20,peal,20,outfaroup,26,0
peal,20,peal,20,peal,20,outfaroup,27,0
peal,20,peal,20,peal,20,outfaroup,28,10
peal,20,peal,20,peal,20,outfaroup,29,0
peal,20,peal,20,peal,20,outfaroup,30,0
peal,20,peal,20,peal,20,outfaroup,31,10
peal,20,peal,20,peal,20,outfaroup,32,0
peal,20,peal,20,peal,20,outfaroup,33,10
peal,20,peal,20,peal,20,outfaroup,34,10
peal,20,peal,20,peal,20,outfaroup,35,10
peal,20,peal,20,peal,20,outfaroup,36,0
peal,20,peal,20,peal,20,outfaroup,37,10
peal,20,peal,20,peal,20,outfaroup,38,0
peal,20,peal,20,peal,20,outfaroup,39,10
peal,20,peal,20,peal,20,outfaroup,40,0
peal,20,peal,20,peal,20,outfaroup,41,10
peal,20,peal,20,peal,20,outfaroup,42,0
